Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
mercari-12,,,,,,,,,,,,,,,,,,,,,,,,https://esp-1-kend.onrender.com/media/mercari_12_4.jpg,5,新品未使用 Nike DUNK HI RETRO ゲームロイヤル,,,,,,,,,,,,,,,,,,,,,
mercari-12,,,,,,,,,,,,,,,,,,,,,,,,https://esp-1-kend.onrender.com/media/mercari_12_5.jpg,6,新品未使用 Nike DUNK HI RETRO ゲームロイヤル,,,,,,,,,,,,,,,,,,,,,
mercari-13,adidas Superstar ブラック/ホワイト,adidas Superstarのブラック/ホワイトスニーカー。<br><br>- ブランド: adidas<br>- モデル: Superstar<br>- カラー: ブラック/ホワイト<br>- ロゴ: adidasロゴ<br>- デザイン: スニーカー<br><br>3年前ほどに購入した靴になります。<br>目立った傷などはありません。<br>値下げ交渉可能です！<br>よろしくお願いします。<br>18分前,Mercari,Mercari Item,,false,Title,Default Title,,,,,MER-1038CB9E12,,shopify,1,deny,manual,10200,,true,false,,https://esp-1-kend.onrender.com/media/mercari_13_0.jpg,1,adidas Superstar ブラック/ホワイト,,,,,,,,,,,,,,,,,,,,,draft
mercari-13,,,,,,,,,,,,,,,,,,,,,,,,https://esp-1-kend.onrender.com/media/mercari_13_1.jpg,2,adidas Superstar ブラック/ホワイト,,,,,,,,,,,,,,,,,,,,,
mercari-13,,,,,,,,,,,,,,,,,,,,,,,,https://esp-1-kend.onrender.com/media/mercari_13_2.jpg,3,adidas Superstar ブラック/ホワイト,,,,,,,,,,,,,,,,,,,,,
mercari-13,,,,,,,,,,,,,,,,,,,,,,,,https://esp-1-kend.onrender.com/media/mercari_13_3.jpg,4,adidas Superstar ブラック/ホワイト,,,,,,,,,,,,,,,,,,,,,
mercari-14,adidas campus スニーカー,スケシューとして使用しておりました。使わなくなったため出品させていただきます。<br>神経質な方は御遠慮ください。<br>値下げ⭕️<br>12分前,Mercari,Mercari Item,,false,Title,Default Title,,,,,MER-1EC1244E76,,shopify,1,deny,manual,2400,,true,false,,https://esp-1-kend.onrender.com/media/mercari_14_0.jpg,1,adidas campus スニーカー,,,,,,,,,,,,,,,,,,,,,draft
mercari-14,,,,,,,,,,,,,,,,,,,,,,,,https://esp-1-kend.onrender.com/media/mercari_14_1.jpg,2,adidas campus スニーカー,,,,,,,,,,,,,,,,,,,,,
mercari-14,,,,,,,,,,,,,,,,,,,,,,,,https://esp-1-kend.onrender.com/media/mercari_14_2.jpg,3,adidas campus スニーカー,,,,,,,,,,,,,,,,,,,,,
mercari-15,NIKE エアジョーダン 1 ハイカットスニーカー,"Nike Air Jordan 1 High OG ""Pollen"" <br><br>5回ほど着用。<br>自宅にて保管してありましたが、使わなくなったため出品いたします。<br><br>目立った傷はありませんが使用品のため、写真をご確認のうえ、ご理解のある人のみご購入お願いします。<br><br>箱付き<br>替え紐付き（黒白、未使用）<br><br>値引き交渉可！<br><br>ご覧いただきありがとうございます。<br>9分前",Mercari,Mercari Item,,false,Title,Default Title,,,,,MER-FE036C7612,,shopify,1,deny,manual,10800,,true,false,,https://esp-1-kend.onrender.com/media/mercari_15_0.jpg,1,NIKE エアジョーダン 1 ハイカットスニーカー,,,,,,,,,,,,,,,,,,,,,draft
